0,2,3,0
0,13,20,2
0,1,21,13
0,2,12,1
0,2,20,2
0,2,19,2
0,3,21,2
0,13,9,3
0,1,19,13
0,1,4,1
0,2,11,1
0,13,9,2
0,1,15,13
0,2,15,1
0,3,20,2
0,0,1,3
3,12,3,0
20,4,8,12
21,8,11,4
12,22,21,8
20,7,19,22
19,8,9,7
21,21,17,8
22,12,11,21
19,18,8,12
5,21,11,18
11,15,8,21
9,18,7,8
22,18,12,18
15,4,18,18
7,7,19,4
1,0,2,5
3,4,2,0
8,21,7,4
11,4,11,21
21,10,15,4
19,12,9,10
9,21,17,12
17,17,9,21
11,18,20,17
8,8,11,18
11,8,5,8
8,20,16,9
7,12,9,20
12,20,5,12
18,9,12,20
19,20,20,11
2,0,1,20
2,10,13,0
7,5,18,10
11,22,5,5
15,21,17,22
9,7,17,21
17,20,7,7
9,17,20,4
20,11,5,17
11,17,8,9
5,15,11,17
16,12,5,15
9,9,9,12
5,5,22,9
12,17,9,5
20,20,12,17
1,0,13,20
13,21,13,0
18,15,18,21
5,9,7,15
17,15,11,9
17,15,18,15
7,18,15,15
20,20,15,18
5,5,11,20
8,17,10,5
11,20,5,17
5,21,15,20
9,10,4,21
15,9,21,10
9,20,4,9
12,22,15,20
13,0,13,22
13,10,1,0
18,12,19,10
7,4,19,12
11,22,12,4
18,19,17,22
15,9,21,19
15,19,17,9
11,11,8,19
10,22,9,11
5,7,12,22
22,10,11,7
4,10,8,10
21,21,7,10
4,18,12,21
15,18,7,18
13,0,3,18
1,5,2,0
19,22,11,5
19,22,16,22
12,22,15,22
17,16,5,22
21,21,20,16
17,15,11,21
8,10,7,15
9,4,18,10
12,10,22,4
11,20,9,10
8,19,9,20
7,9,17,19
12,15,20,9
7,4,15,15
3,0,3,4
2,17,14,0
11,15,18,17
16,9,9,15
15,5,22,9
5,7,4,5
20,7,22,7
11,7,12,7
7,17,6,7
18,5,10,17
22,10,7,5
9,10,19,10
9,19,22,10
17,10,8,19
20,10,11,10
15,20,11,10
3,0,13,20
14,5,2,0
18,22,12,5
9,17,19,22
22,5,18,17
4,6,8,5
22,17,12,6
12,8,18,17
6,16,16,8
10,19,15,16
7,7,18,19
19,11,4,7
22,16,21,11
8,7,7,16
11,10,18,7
11,21,11,10
13,0,3,21
2,11,14,0
12,8,21,11
19,11,5,8
18,15,7,11
8,22,16,15
12,21,5,22
18,5,20,21
16,22,8,5
15,4,19,22
18,15,16,4
4,12,4,15
21,19,20,12
7,22,4,19
18,19,15,22
11,6,10,19
3,0,3,6
14,10,13,0
21,16,19,10
5,5,18,16
7,12,9,5
16,20,11,12
5,16,10,20
20,20,20,16
8,6,18,20
19,8,9,6
16,19,15,8
4,4,17,19
20,9,6,4
4,11,6,9
15,8,17,11
10,5,18,8
3,0,3,5
13,12,13,0
19,6,6,12
18,10,22,6
9,21,8,10
11,17,4,21
10,21,16,17
20,7,8,21
18,19,17,7
9,16,11,19
15,15,6,16
17,19,17,15
6,10,18,19
6,6,4,10
17,7,10,6
18,8,22,7
3,0,1,8
13,7,14,0
6,16,16,7
22,5,12,16
8,18,22,5
4,12,16,18
16,4,6,12
8,17,6,4
17,4,6,17
11,16,17,4
6,12,21,16
17,10,16,12
18,21,10,10
4,6,4,21
10,19,19,6
22,6,12,19
1,0,13,6
14,22,14,0
16,12,6,22
12,12,17,12
22,16,19,12
16,11,6,16
6,7,20,11
6,11,6,7
6,16,22,11
17,7,10,16
21,5,16,7
16,9,21,5
10,18,6,9
4,6,6,18
19,8,8,6
12,19,8,8
13,0,14,19
14,18,3,0
6,7,6,18
17,15,22,7
19,8,16,15
6,9,16,8
20,4,21,9
6,18,21,4
22,6,19,18
10,20,5,6
16,6,16,20
21,15,15,6
6,16,9,15
6,4,4,16
8,20,10,4
8,8,22,20
14,0,13,8
3,2,0,0
6,3,0,2
22,14,0,3
16,1,0,14
16,1,0,1
21,14,0,1
21,3,0,14
19,14,0,3
5,1,0,14
16,14,0,1
15,2,0,14
9,14,0,2
4,14,0,14
10,14,0,14
22,1,0,14
13,0,0,1
